fc18-041,"Micro switch, set of 10",http://firstchoicebyandymark.com/content/images/thumbs/0000879_micro-switch-set-of-10-fc18-041_125.jpeg,20
fc18-042,"Micro Switch with Lever",http://firstchoicebyandymark.com/content/images/thumbs/0000880_micro-switch-with-lever-fc18-042_125.jpeg,5
fc18-043,"Teflon tape PTFE-1/4",http://firstchoicebyandymark.com/content/images/thumbs/0000881_teflon-tape-ptfe-14-fc18-043_125.jpeg,5
fc18-046,"iglide plastic clip bearing",http://firstchoicebyandymark.com/content/images/thumbs/0000884_iglide-plastic-clip-bearing-fc18-046_125.jpeg,5
fc18-047,"iglide plastic flange bearing",http://firstchoicebyandymark.com/content/images/thumbs/0000885_iglide-plastic-flange-bearing-fc18-047_125.jpeg,5
fc18-048,"iglide plastic sleeve bearing",http://firstchoicebyandymark.com/content/images/thumbs/0000886_iglide-plastic-sleeve-bearing-fc18-048_125.jpeg,5
fc18-049,"iglide plastic thrust washer",http://firstchoicebyandymark.com/content/images/thumbs/0000887_iglide-plastic-thrust-washer-fc18-049_125.jpeg,5
fc18-051,"igubal spherical flange bearing EFOI-16R, pack of 5",http://firstchoicebyandymark.com/content/images/thumbs/0000889_igubal-spherical-flange-bearing-efoi-16r-pack-of-5-fc18-051_125.jpeg,50
fc18-052,"igubal spherical rod end bearing EBRI-10R",http://firstchoicebyandymark.com/content/images/thumbs/0000890_igubal-spherical-rod-end-bearing-ebri-10r-fc18-052_125.jpeg,10
fc18-053,"Pressure Gauge",http://firstchoicebyandymark.com/content/images/thumbs/0000891_pressure-gauge-fc18-053_125.jpeg,20
fc18-054,"Pressure Regulator & Regulator Mounting Kit",http://firstchoicebyandymark.com/content/images/thumbs/0000892_pressure-regulator-regulator-mounting-kit-fc18-054_125.jpeg,20
fc18-055,"Pressure Relief Valve",http://firstchoicebyandymark.com/content/images/thumbs/0000893_pressure-relief-valve-fc18-055_125.jpeg,20
fc18-057,"Victor SP",http://firstchoicebyandymark.com/content/images/thumbs/0000895_victor-sp-fc18-057_125.jpeg,50
fc18-058,"AC to DC Wall adapter 12V, 1A",http://firstchoicebyandymark.com/content/images/thumbs/0000896_ac-to-dc-wall-adapter-12v-1a-fc18-058_125.jpeg,5
fc18-059,"Lead Screw",http://firstchoicebyandymark.com/content/images/thumbs/0000897_lead-screw-fc18-059_125.jpeg,10
fc18-060,"10mm Rotary Shaft",http://firstchoicebyandymark.com/content/images/thumbs/0000898_10mm-rotary-shaft-fc18-060_125.jpeg,10
fc18-061,"Pneumatic Pressure Switch",http://firstchoicebyandymark.com/content/images/thumbs/0000899_pneumatic-pressure-switch-fc18-061_125.jpeg,20
fc18-062,"LEGO Technic Builder's Guide",http://firstchoicebyandymark.com/content/images/thumbs/0000900_lego-technic-builders-guide-fc18-062_125.png,5
fc18-064,"Round Body Pneumatic Cylinder 3/4"" 2 inch stroke with 2 brackets",http://firstchoicebyandymark.com/content/images/thumbs/0000902_round-body-pneumatic-cylinder-34-2-inch-stroke-with-2-brackets-fc18-064_125.jpeg,50
fc18-067,"Robot Signal Light (i.e. Panel Signal Device)",http://firstchoicebyandymark.com/content/images/thumbs/0000905_robot-signal-light-ie-panel-signal-device-fc18-067_125.jpeg,50
fc18-068,"Photoelectric Sensor",http://firstchoicebyandymark.com/content/images/thumbs/0000906_photoelectric-sensor-fc18-068_125.jpeg,100
fc18-071,"Mounting bracket",http://firstchoicebyandymark.com/content/images/thumbs/0000909_mounting-bracket-fc18-071_125.jpeg,10
fc18-072,"47mm OD, 17mm ID Bearings (Sleeve of 10)",http://firstchoicebyandymark.com/content/images/thumbs/0000910_47mm-od-17mm-id-bearings-sleeve-of-10-fc18-072_125.jpeg,5
fc18-073,"26mm OD, 10mm ID Bearings (Sleeve of 8)",http://firstchoicebyandymark.com/content/images/thumbs/0000911_26mm-od-10mm-id-bearings-sleeve-of-8-fc18-073_125.jpeg,5
fc18-074,"MC5e Catagory 5e Modular Patch Cord, (colors & lengths vary)",http://firstchoicebyandymark.com/content/images/thumbs/0000912_mc5e-catagory-5e-modular-patch-cord-colors-lengths-vary-fc18-074_125.jpeg,5
fc18-075,"LaunchPad Evaluation Kit",http://firstchoicebyandymark.com/content/images/thumbs/0000913_launchpad-evaluation-kit-fc18-075_125.jpeg,10
fc18-076,"12"" Lazy Susan",http://firstchoicebyandymark.com/content/images/thumbs/0000914_12-lazy-susan-fc18-076_125.jpeg,20
fc18-077,"Rod end bearing with 3/8"" ID bearing",http://firstchoicebyandymark.com/content/images/thumbs/0000915_rod-end-bearing-with-38-id-bearing-fc18-077_125.jpeg,5
fc18-080,"8 x 3-conductor Lever nuts",http://firstchoicebyandymark.com/content/images/thumbs/0000918_8-x-3-conductor-lever-nuts-fc18-080_125.jpeg,20
fc18-081,"RS775 Motor",http://firstchoicebyandymark.com/content/images/thumbs/0000919_rs775-motor-fc18-081_125.jpeg,20
fc18-082,"Air Volume Tank, 32 cu. in., Black Plastic AVT-PP-35",http://firstchoicebyandymark.com/content/images/thumbs/0000920_air-volume-tank-32-cu-in-black-plastic-avt-pp-35-fc18-082_125.jpeg,10
fc18-083,"Power Connector for Radio",http://firstchoicebyandymark.com/content/images/thumbs/0001021_power-connector-for-radio-fc18-083_125.jpeg,5
fc18-084,"Microsoft Lifecam HD3000 Camera",http://firstchoicebyandymark.com/content/images/thumbs/0000921_microsoft-lifecam-hd3000-camera-fc18-084_125.jpeg,20
fc18-085,"Digital Multimeter (FLUKE 115)",http://firstchoicebyandymark.com/content/images/thumbs/0000922_digital-multimeter-fluke-115-fc18-085_125.jpeg,100
fc18-086,"NavX sensor",http://firstchoicebyandymark.com/content/images/thumbs/0001024_navx-sensor-fc18-086_125.jpeg,5
fc18-088,"Microsoft Kinect",http://firstchoicebyandymark.com/content/images/thumbs/0001008_microsoft-kinect-fc18-088_125.jpeg,100
fc18-089,"Devastator II: Keyboard & Mouse Set (green)",http://firstchoicebyandymark.com/content/images/thumbs/0000988_devastator-ii-keyboard-mouse-set-green-fc18-089_125.jpeg,20
fc18-090,"Pool Noodle",http://firstchoicebyandymark.com/content/images/thumbs/0001020_pool-noodle-fc18-090_125.jpeg,5
fc18-094,"Brushless Motor, Controller and Wire Harness",http://firstchoicebyandymark.com/content/images/thumbs/0001018_brushless-motor-controller-and-wire-harness-fc18-094_125.jpeg,100
fc18-095,"Network switch, 8-port",http://firstchoicebyandymark.com/content/images/thumbs/0000989_network-switch-8-port-fc18-095_125.png,20
fc18-096,"USB 2.0 to 10/100 Mbps Ethernet Network Adapter Dongle",http://firstchoicebyandymark.com/content/images/thumbs/0001016_usb-20-to-10100-mbps-ethernet-network-adapter-dongle-fc18-096_125.jpeg,20
fc18-097,"Green Ring Light",http://firstchoicebyandymark.com/content/images/thumbs/0000930_green-ring-light-fc18-097_125.jpeg,10
fc18-098,"Pneumatic Solenoid, Double Valve Kit 2017",http://firstchoicebyandymark.com/content/images/thumbs/0000931_pneumatic-solenoid-double-valve-kit-2017-fc18-098_125.jpeg,50
fc18-099,"Bumper cover material kit (1 piece red, 1 piece blue)",http://firstchoicebyandymark.com/content/images/thumbs/0000932_bumper-cover-material-kit-1-piece-red-1-piece-blue-fc18-099_125.jpeg,50
fc18-100,"Crimping Tool Y1MRTC",http://firstchoicebyandymark.com/content/images/thumbs/0000933_crimping-tool-y1mrtc-fc18-100_125.jpeg,200
fc18-102,"Bushing Linear 1/2 in. Shaft",http://firstchoicebyandymark.com/content/images/thumbs/0000935_bushing-linear-12-in-shaft-fc18-102_125.jpeg,5
fc18-103,"Parker Fitting Kit 2018",http://firstchoicebyandymark.com/content/images/thumbs/0000936_parker-fitting-kit-2018-fc18-103_125.jpeg,50
fc18-133,"1/4"" Jaw Coupling Hub",http://firstchoicebyandymark.com/content/images/thumbs/0000966_14-jaw-coupling-hub-fc18-133_125.jpeg,10
